ID,허브,트럭번호,방문순서,방문행정동수,경로거리_km
SMAX,가락시장,11,문정2동,1,3.18
SMAX,가락시장,12,문정2동,1,3.18
SMAX,가락시장,13,문정1동,1,2.28
SMAX,가락시장,14,문정1동,1,2.28
SMAX,가락시장,15,문정1동,1,2.28
SMAX,가락시장,16,석촌동,1,4.39
SMAX,가락시장,17,석촌동,1,4.39
SMAX,가락시장,18,석촌동,1,4.39
SMAX,가락시장,19,석촌동,1,4.39
SMAX,가락시장,20,석촌동,1,4.39
SMAX,가락시장,21,송파2동,1,3.0
SMAX,가락시장,22,송파2동,1,3.0
SMAX,가락시장,23,방이2동,1,5.71
SMAX,가락시장,24,방이2동,1,5.71
SMAX,가락시장,25,방이2동,1,5.71
SMAX,가락시장,26,장지동,1,3.74
SMAX,가락시장,27,잠실6동,1,7.73
SMAX,가락시장,28,송파2동,1,3.0
SMAX,가락시장,29,송파1동,1,4.25
SMAX,가락시장,30,송파1동,1,4.25
SMAX,가락시장,31,송파1동,1,4.25
SMAX,가락시장,32,방이2동,1,5.71
SMAX,가락시장,33,방이2동,1,5.71
SMAX,가락시장,34,장지동,1,3.74
SMAX,가락시장,35,송파1동,1,4.25
SMAX,가락시장,36,장지동,1,3.74
SMAX,경찰병원,1,마천1동,1,6.85
SMAX,경찰병원,2,위례동 -> 마천1동,2,8.3
SMAX,경찰병원,3,마천2동,1,6.16
SMAX,경찰병원,4,거여2동,1,5.13
SMAX,경찰병원,5,거여2동,1,5.13
SMAX,경찰병원,6,거여2동 -> 거여1동,2,5.13
SMAX,경찰병원,7,위례동,1,4.92
SMAX,경찰병원,8,위례동,1,4.92
SMAX,경찰병원,9,위례동,1,4.92
SMAX,경찰병원,10,위례동,1,4.92
SMAX,경찰병원,11,위례동,1,4.92
SMAX,경찰병원,12,위례동,1,4.92
SMAX,경찰병원,13,가락2동 -> 마천2동,2,6.18
SMAX,경찰병원,14,거여1동,1,3.87
SMAX,경찰병원,15,가락2동,1,1.5
SMAX,경찰병원,16,가락2동,1,1.5
SMAX,경찰병원,17,가락2동,1,1.5
SMAX,경찰병원,18,가락2동,1,1.5
SMAX,경찰병원,19,가락본동,1,0.86
SMAX,경찰병원,20,가락본동,1,0.86
SMAX,경찰병원,21,가락본동,1,0.86
SMAX,경찰병원,22,가락본동,1,0.86
SMAX,경찰병원,23,가락본동,1,0.86
SMAX,경찰병원,24,가락본동,1,0.86
SMAX,노원,1,우이동,1,11.36
SMAX,노원,2,번2동,1,10.35
SMAX,노원,3,월계3동,1,9.02
SMAX,노원,4,미아동,1,11.11
SMAX,노원,5,월계3동,1,9.02
SMAX,노원,6,방학3동,1,8.19
SMAX,노원,7,월계3동,1,9.02
SMAX,노원,8,방학3동,1,8.19
SMAX,노원,9,공릉1동,1,8.08
SMAX,노원,10,방학3동,1,8.19
SMAX,노원,11,공릉1동,1,8.08
SMAX,노원,12,공릉1동,1,8.08
SMAX,노원,13,공릉1동,1,8.08
SMAX,노원,14,창3동,1,7.48
SMAX,노원,15,방학2동,1,7.24
SMAX,노원,16,공릉1동,1,8.08
SMAX,노원,17,월계2동,1,7.13
SMAX,노원,18,창2동,1,6.82
SMAX,노원,19,방학1동 -> 방학2동,2,7.44
SMAX,노원,20,월계2동,1,7.13
SMAX,노원,21,창2동,1,6.82
SMAX,노원,22,창2동 -> 창3동 -> 월계2동,3,10.35
SMAX,노원,23,하계2동,1,5.61
SMAX,노원,24,창2동,1,6.82
SMAX,노원,25,방학1동,1,5.32
SMAX,노원,26,방학1동,1,5.32
SMAX,노원,27,하계2동,1,5.61
SMAX,노원,28,창1동,1,4.54
SMAX,노원,29,창1동,1,4.54
SMAX,노원,30,방학1동,1,5.32
SMAX,노원,31,중계2·3동,1,3.59
SMAX,노원,32,중계2·3동,1,3.59
SMAX,노원,33,창4동 -> 창1동,2,4.66
SMAX,노원,34,중계2·3동,1,3.59
SMAX,노원,35,창4동,1,2.67
SMAX,노원,36,창4동,1,2.67
SMAX,노원,37,번2동 -> 미아동 -> 중계2·3동,3,13.24
SMAX,노원,38,창4동,1,2.67
SMAX,노원,39,상계6·7동,1,2.56
SMAX,노원,40,상계6·7동,1,2.56
SMAX,노원,41,상계6·7동,1,2.56
SMAX,노원,42,상계10동,1,2.19
SMAX,노원,43,상계10동,1,2.19
SMAX,노원,44,상계6·7동,1,2.56
SMAX,노원,45,상계6·7동 -> 하계2동 -> 월계3동,3,9.36
SMAX,노원,46,상계2동,1,0.82
SMAX,노원,47,우이동,1,11.36
SMAX,노원,48,상계2동,1,0.82
SMAX,노원,49,상계2동,1,0.82
SMAX,노원,50,미아동,1,11.11
SMAX,녹번,1,증산동,1,7.57
SMAX,녹번,2,증산동,1,7.57
SMAX,녹번,3,신사2동,1,6.25
SMAX,녹번,4,신사2동,1,6.25
SMAX,녹번,5,응암3동,1,5.19
SMAX,녹번,6,응암3동,1,5.19
SMAX,녹번,7,응암3동,1,5.19
SMAX,녹번,8,신사1동,1,5.02
SMAX,녹번,9,신사1동,1,5.02
SMAX,녹번,10,신사1동,1,5.02
SMAX,녹번,11,응암2동,1,3.68
SMAX,녹번,12,응암2동,1,3.68
SMAX,녹번,13,응암2동,1,3.68
SMAX,녹번,14,응암1동,1,2.74
SMAX,녹번,15,응암1동,1,2.74
SMAX,녹번,16,응암1동,1,2.74
SMAX,녹번,17,응암1동,1,2.74
SMAX,녹번,18,응암1동 -> 응암2동,2,4.11
SMAX,매봉,1,양재1동,1,6.36
SMAX,매봉,2,양재1동,1,6.36
SMAX,매봉,3,양재1동,1,6.36
SMAX,매봉,4,양재1동,1,6.36
SMAX,매봉,5,양재1동,1,6.36
SMAX,매봉,6,양재1동,1,6.36
SMAX,매봉,7,서초2동,1,3.91
SMAX,매봉,8,서초2동,1,3.91
SMAX,매봉,9,서초2동,1,3.91
SMAX,매봉,10,서초2동,1,3.91
SMAX,매봉,11,서초2동,1,3.91
SMAX,매봉,12,서초2동,1,3.91
SMAX,매봉,13,역삼2동,1,3.65
SMAX,매봉,14,역삼2동,1,3.65
SMAX,매봉,15,역삼2동,1,3.65
SMAX,매봉,16,역삼2동,1,3.65
SMAX,매봉,17,역삼2동,1,3.65
SMAX,매봉,18,역삼2동,1,3.65
SMAX,매봉,19,역삼2동,1,3.65
SMAX,매봉,20,도곡1동,1,1.63
SMAX,매봉,21,도곡1동,1,1.63
SMAX,매봉,22,도곡1동,1,1.63
SMAX,매봉,23,도곡1동 -> 서초2동 -> 역삼2동,3,6.33
SMAX,매봉,24,도곡2동,1,1.18
SMAX,매봉,25,도곡2동,1,1.18
SMAX,매봉,26,도곡2동,1,1.18
SMAX,매봉,27,도곡2동,1,1.18
SMAX,매봉,28,도곡2동,1,1.18
SMAX,매봉,29,도곡2동,1,1.18
SMAX,불광,1,구산동,1,4.54
SMAX,불광,2,구산동,1,4.54
SMAX,불광,3,구산동,1,4.54
SMAX,불광,4,갈현1동,1,4.2
SMAX,불광,5,갈현1동,1,4.2
SMAX,불광,6,갈현2동,1,4.19
SMAX,불광,7,갈현2동,1,4.19
SMAX,불광,8,갈현2동,1,4.19
SMAX,불광,9,대조동,1,1.75
SMAX,불광,10,대조동,1,1.75
SMAX,불광,11,대조동,1,1.75
SMAX,불광,12,대조동 -> 갈현2동 -> 구산동,3,5.35
SMAX,상계,1,신내1동,1,14.43
